date;1;2;3;4;5;6;7;8;9;10;11;12
Nov 22;103.4535;103.1129;103.7156;107.1178;107.4670;99.2499;114.1128;96.7290;103.2782;100.9501;102.6497;102.3196
Dez 22;102.5719;102.5048;103.0328;106.9075;107.7236;99.0834;112.8949;96.7754;103.1871;100.9501;104.4194;102.7656
Jan 23;104.0025;103.5413;96.4804;108.8687;106.9593;99.0889;112.2415;96.9421;103.4332;100.9501;106.6270;103.1008
Feb 23;105.1093;104.0075;100.0034;109.0504;107.9854;99.0803;113.7990;96.8939;104.8133;100.9501;108.3010;103.4096
Mär 23;105.8211;103.2600;103.8008;108.9350;108.2075;99.0728;114.5679;96.9427;106.0590;100.9501;106.5660;103.1189
Apr 23;104.9162;103.2817;105.6323;108.7222;109.1496;99.1031;114.6558;97.0840;107.0110;100.9501;106.0489;103.3053
Mai 23;106.6692;103.9290;106.2308;108.8347;109.2308;99.0605;114.2157;97.0449;107.3566;100.9501;106.0715;103.7867
Jun 23;107.6711;103.6598;104.3789;108.8412;109.0359;98.9904;113.8120;96.8072;107.7351;100.9501;106.7334;103.7042
Jul 23;108.1516;103.5416;97.6207;108.9040;108.1275;99.0320;113.5052;97.0134;106.5492;100.9501;108.1615;103.8256
Aug 23;108.0298;103.8786;100.7324;109.4801;108.5137;99.0871;113.1014;97.3816;106.2191;102.7348;108.0500;104.2933
Sep 23;107.5294;103.4631;103.4468;109.6133;108.5981;98.9976;113.3559;97.2477;106.0827;102.7516;106.6716;104.2473
Okt 23;107.3668;104.3968;105.2416;109.7302;107.8314;99.0547;113.4082;97.2814;106.3804;102.7516;106.4887;104.4041
Nov 23;106.7645;103.5453;105.4307;110.4990;107.2429;99.0001;112.1668;97.5175;105.4100;102.7516;105.3873;104.1106
Dez 23;105.9925;103.5136;104.8537;110.3858;108.2481;98.7890;112.4127;97.4962;104.9951;102.7516;107.2964;104.3254
Jan 24;106.4301;104.4299;96.7087;111.6088;106.8839;98.7578;111.3487;97.6347;105.3829;102.7516;109.1035;104.7158
Feb 24;105.9543;104.6390;100.2762;112.3874;107.0166;98.7053;113.1967;97.5100;106.5661;102.7516;110.5478;104.4632
Mär 24;105.3931;104.3988;103.6665;112.3743;106.2011;98.5886;113.9764;97.6543;108.0077;102.7516;108.9702;104.2800
Apr 24;105.9597;105.3026;104.6297;112.3305;108.5528;98.5560;114.6655;97.5946;109.5010;102.7516;108.2467;104.7924
Mai 24;106.9318;104.1804;105.0158;113.0136;108.2837;98.5863;115.0113;97.4669;109.6433;102.7516;108.1953;104.8717
Jun 24;107.3177;104.4474;102.2846;113.0026;106.3505;98.4582;114.6623;97.3662;111.1891;102.7516;108.7855;104.5859
Jul 24;108.2384;104.9390;95.8655;113.0539;106.5296;98.4384;113.7199;97.3235;109.5318;102.7516;110.2056;104.3476
Aug 24;107.9129;105.3313;98.1486;113.6559;105.5867;98.3733;112.2996;97.8924;109.3495;103.6207;109.8215;104.6047
Sep 24;107.7755;105.4450;102.0994;113.5718;104.8000;98.2926;110.7208;97.7464;107.7339;103.6207;109.1069;104.8085
Okt 24;107.0430;104.9496;104.1623;113.5909;105.6365;98.2362;110.3721;97.7470;107.3978;103.6207;108.5999;104.5437
