MCC,Description (Spanish),Categorization
5533,ACCESORIOS/REPUESTOS COCHES Y MAQ.      ,7
5541,ESTACIONES DE SERVICIO                  ,7
5542,DISPENSADORES AUTOMATICOS DE GASOLINA   ,7
5543,REPSOL/CAMPSA                           ,7
5545,REPSOL-REPARTO A DOMICILIO              ,4
5551,VENDEDORES DE EMBARCACIONES             ,7
5552,RECARGA DE VEHICULOS ELECTRICOS         ,7
5561,VENDEDORES DE REMOLQUES RECRE. Y SERVICI,7
5571,TIENDAS Y CONCESIONARIOS DE MOTOCICLETAS,7
5592,VENDEDORES DE CARAVANAS                 ,7
5598,VENDEDORES DE VEHICULOS PARA NIEVE      ,7
5599,VENDEDORES DE AUTOMOCION DIVERSA SIN CLA,7
5611,CONFECCION TEXTIL EN GENERAL            ,3
5621,ESTABLECIMIENTOS DE CONFECCION FEMENINA ,3
5631,ESTABLECIMIENTOS ACCESORIOS FEMENINOS   ,3
5641,TIENDAS DE CONFECCION INFANTIL          ,3
5651,TIENDAS DE CONFECCION FAMILIAR          ,3
5655,TIENDAS DE DEPORTE Y EQUITACION         ,sporting
5661,ZAPATERIAS                              ,3
5681,PELETERIAS                              ,3
5691,TIENDAS DE CONFECCION DE HOMBRE Y MUJER ,3
5697,"SATRERIAS,COSTURERIAS Y ARREGLOS CONFECC",3
5698,PELUQUERIAS                             ,12
5699,ESTABLECIMIENTOS APAREJO Y ACCES. DIVER.,3
5712,"MUEBLES,ANTIG Y GALERIAS ARTE           ",5
5713,ESTABLECIMIENTOS DE ALFOMBRAS           ,5
5714,"TAPICERIAS, ALFOMBRAS                   ",5
5718,TIENDA DE CHIMENEAS Y ACCESORIOS        ,5
5719,ESTABLECIMIENTO ESPECIAL MUEBLES HOGAR  ,5
5722,"ELECTRODOMESTICOS,EQUIPOS ELECTRICOS,ETC",5
5732,SUSCRIPCION A CANALES PRIVADOS          ,9
5733,"TIENDA DE INSTRUMENTO MUSICALE,PARTITURA",9
5734,VENTA DE SOFTWARE POR INTERNET          ,9
5735,TIENDAS DE DISCOS                       ,9
5811,EMPRESAS DE CATERING                    ,11
5812,RESTAURANTE RESTO                       ,11
5813,"CAFETERIAS, SNACKS                      ",11
5814,RESTAURANTES DE COMIDA RAPIDA           ,11
5815,BIENES DIGITALES MEDIOS AUDIOVISUALES   ,9
5816,DIGITAL GOODS-GAMES                     ,9
5817,DIGITAL GOODS-SOFTWARE APPLICATIONS     ,9
5818,DIGITAL GOODS-MULTI-CATEGORY            ,9
5911,"DROGUERIAS, PERFUMERIAS                 ",12
5912,FARMACIAS,6
5913,HERBOLARIOS-PL MEDICINALES-PAF          ,6
5921,"BODEGAS ( CERVEZA,VINO Y LICORES )      ",2
5931,ESTABLECIMIENTOS DE MERCANCIAS USADAS   ,non-categorizable
5932,"TIENDAS DE SERVICIO,REPARACION ANTIGUEDA",non-categorizable
5933,CASAS DE EMPEÑO                         ,non-consumption
5935,DESGUACES                               ,non-consumption
5937,ESTABLECIMIENTOS REPRODUCCION ANTIGUEDAD,non-categorizable
5939,TOYS R US                               ,9
5940,VENTA Y SERVICIO DE BICICLETAS          ,7
5941,ESTABLECIMIENTOS DE MATERIAL DEPORTIVO  ,sporting
5942,"LIBRERIA,PAPELERIA,VENTA DISCO          ",9
5943,PAPELERIAS Y ARTICULOS DE OFICINA       ,9
5944,"JOYERIAS,RELOJERIAS,ARTICULOS DE PLATA  ",3
5945,"TIENDAS DE JUGUETES,PASATIEMPOS Y JUEGOS",9
5946,OPTICOS,6
5947,"REGALOS,POSTALES Y SOUVENIRES           ",non-categorizable
5948,"MALETAS Y ARTICULOS DE PIEL, NO PELETERI",12
5949,"TIENDAS DE CONFECCION, BORDADOS Y TEJIDO",3
5950,CRISTALERIA Y ARTICULOS DE CRISTAL      ,5
5951,BAZARES MAYA                            ,non-categorizable
5952,CORTEFIEL                               ,3
5953,LOEWE/LOUIS VUITTON                     ,3
5955,PRENATAL                                ,3
5956,VIPS                                    ,11
5957,C&A                                     ,3
5958,GENERAL OPTICA                          ,6
5959,EL CORTE INGLES(CON TERMIN.)            ,supercenter
5960,PROPAGANDA DIRECTA-SERV. ASEGURADORES   ,12
5962,SERVICIOS DE PREPARACION DE VIAJES      ,9
5963,PROPAGANDA VENTA A DOMICILIO            ,non-categorizable
5964,PROPAGANDA DIRECTA-VENTA POR CATALOGO   ,non-categorizable
5965,PROPAGANDA DIRECTA-ASOCIACION MINORISTAS,non-categorizable
5966,PROPAGANDA DIRECTA EXTERNA-TELEMARKETING,non-categorizable
5967,VENTAS INTERNET-DIGIT.AUDI.VIS          ,non-categorizable
5968,PROPAGANDA DIRECTA-RENOVACION/SUSCRICION,non-categorizable
5969,PROPAGANDA DIRECTA-MERCADOS NO CLASIFICA,non-categorizable
5970,TIENDAS DE MATERIAL ARTISTICO Y ARTESANI,9
5971,TRATANTES Y GALERIAS DE ARTE            ,9
5972,FILATELIA Y NUMISMATICA                 ,9
5973,ARTICULOS RELIGIOSOS                    ,12
5975,VENTA Y SERVICIO DE PROTESIS AUDITIVAAS ,6
5976,ORTOPEDIA Y LAMPARAS ARTIFICIALES       ,6
5977,TIENDAS DE COSMETICOS                   ,12
5978,SERVICIO Y VENTA DE MAQUINAS ESCRIBIR   ,8
5983,"DISTIBUCION FUEL,MADERA,CARBON Y PETROLE",4
5992,FLORES Y PLANTAS                        ,9
5993,ESTANCOS                                ,2
5994,DISTRIBUIDORES DE PRENSA Y KIOSCOS      ,9
5995,VETERINARIA(VTA. CURA ANIMAL.)          ,9
5996,VENTA Y SUMINISTROS DE PISCINA          ,5
5997,VENTA Y SERVICIO DE MAQUI.AFEITAR ELECT.,12
5998,TIENDAS DE CAMPAÑA Y TOLDOS             ,9
5999,HELADERIA                               ,11
6010,AGENCIAS BANCARIAS                      ,non-categorizable
6011,INSTITUCI.FINANCIERAS:CAJEROS AUTOMATICO,non-categorizable
6012,FINAN. INST. MERCHANDISE/SERVI          ,non-consumption
6015,DEVOLUCION DE IMPUESTOS -CEE            ,non-consumption
6051,COMPRA DE CRIPTOMONEDA                  ,non-consumption
6211,VALORES-CORREDORES BOLSA Y COMERCIANTES ,non-consumption
6300,"VENTA DE SEGUROS,REASEGUROS Y PRIMAS    ",12
6310,SEGUROS (COMPAÂ¦IAS DE)                  ,12
6513,ALQUILER Y VENTA DE BIENES INM          ,non-consumption
6538,PROVISION DE FONDOS DE MASTER           ,non-consumption
6540,PROVISION DE FONDOS POI                 ,non-consumption
7011,CASAS DE HUESPEDES Y MOTELES            ,11
7012,TIEMPO COMPARTIDO                       ,4
7013,"HOTELES RESTO, CAMPINGS, BALNEARIOS     ",11
7014,NH-HOTELES                              ,11
7015,APARTAM. Y PISOS EN MULTIUSO            ,11
7032,CAMPAMENTOS JUVENILES DEPORT.Y RECREATIV,11
7033,CAMPINGS                                ,11
7210,SERVICIO LAVANDERIA Y LIMPIEZA DE PRENDA,3
7211,SERVICIO LAVANDERIA DOMESTICO Y COMERCIA,3
7216,TINTORERIAS Y LAVANDERIAS               ,3
7217,LIMPIEZA DE ALFOMBRAS Y TAPICERIAS      ,5
7221,ESTUDIOS FOTOGRAFICOS                   ,9
7230,TIENDAS DE BELLEZA Y BARBERIAS          ,12
7231,"PELUQUER., INST. BELLEZA Y GIM          ",12
7232,MASAJES Y SAUNAS                        ,12
7251,"REPARACION,LIMPIEZA DE CALZADO Y SOMBRER",3
7261,FUNERARIAS                              ,12
7273,REDES SOCIALES DE CONTACTO              ,12
7276,SERVICIO DE LIQUIDACION DE IMPUESTOS    ,non-consumption
7277,ASESORAMIENTO MATRIMONIAL Y PERSONAL    ,12
7278,CLUBS Y SERVICIOS DE COMPRA             ,non-categorizable
7296,CONFECCIONES                            ,3
7297,SALONES DE MASAJE                       ,12
7298,BALNEARIOS DE SALUD Y BELLEZA           ,12
7299,SERVICIOS PERSONALES SIN CLASIFICAR     ,12
7311,SERVICIOS DE PUBLICIDAD                 ,12
7321,AGENCIAS DE INFORMACION AL CONSUMIDOR   ,12
7333,ARTES GRAFICAS                          ,9
7338,"COPIA RAPIDA,REPRODUCCIONES E IMPRENTA  ",12
7339,SERVICIOS TAQUIGRAFICOS Y SECRETARIADO  ,12
7342,SERVICIOS DE FUMIGACION                 ,12
7349,"SERVICIOS DE PORTERIA, MANTENIMIENTO,LIM",4
7361,AGENCIAS DE TRABAJO Y EMPLEO TEMPORAL   ,12
7372,SERVICIO DE COMPUTACION Y PROCESO DATOS ,12
7375,INFORMATION RETRIEVAL SERVICES          ,12
7379,MANTENIMIENTO Y REPA. ORDENA. SIN CLASIF,9
7392,"SERVICIO DIRECCION, ASESORA. Y RELA.PUBL",12
7393,"AGENC.DETECTIVES,SEGURIDAD Y GUARD.CANIN",12
7394,"ALQUILER Y LEASING:HERRAMIE., MOBILI.ETC",5
7395,LABORATORIOS DE FOTOCONTROL Y REVELADO  ,9
7399,SERVICIO NEGOCIOS SIN CLASIFICAR        ,non-categorizable
7512,SERVICIO ALQUILER Y LEASING AUTOMOVILES ,7
7513,ALQUILER AERONAVES                      ,7
7519,ALQUILER DE CARAVANAS Y VEHIC. RECREATIV,7
7523,"GARAJES, PARKINGS Y APARCAMIEN          ",7
7531,TALLERES DE CHAPA DE VEHICULOS          ,7
7534,RECAUCHUTADO Y REPARACION DE NEUMATICOS ,7
7535,TALLERES DE PINTURA DE VEHICULOS        ,7
7538,TALLERES DE SERVICIO DE VEHICULOS       ,7
7539,AUTOM Y MOTOC.(VENTA Y T. REP)          ,7
7542,LAVADO DE COCHES                        ,7
7549,SERVICIO DE REMOLQUE                    ,7
7622,TIENDAS DE REPARACION ELECTRONICA       ,9
7623,REPARACION DE AIRE ACONDICIONADO Y REFRI,5
7629,APPLIANCEREPAIR SHOPS                   ,5
7631,REPARACION DE JOYERIA Y RELOJERIA       ,12
7641,"TAPIZADO,REPARACION, RESTAURA. MOBILIARI",5
7692,REPARACIONES CON SOLDADURA              ,4
7699,TIENDAS DE SERVI.Y REPARACI.SIN CLASIFIC,non-categorizable
7829,PRODUCCION Y DISTRIBUCION PELIC. Y VIDEO,9
7832,CINEMATOGRAFOS                          ,9
7841,VIDEOCLUBS                              ,9
7911,"SALONES,ESTUDIOS Y ESCUELAS DE BAILE    ",9
7922,PRODUCTORES TEATRALES.VENTA LOCALIDADES ,9
7929,"BANDAS, ORQUESTAS,ARTISTAS SIN CLASIFICA",9
7932,BILLARES                                ,9
7933,BOLERAS                                 ,9
7941,ESPECTACULOS Y DEPORTES                 ,9
7987,CASINO MADRID                           ,9
7988,CASINOS                                 ,9
7989,CASINO CATALUÑA                         ,9
7990,ONLAE                                   ,9
7991,ATRACCIONES TURISTICAS Y EXPOSICIONES   ,9
7992,"CURSOS DE GOLF, PRACTICA PUBLICA        ",9
7993,SUMINISTROS DE VIDEOJUEGOS RECREATIVOS  ,9
7994,SALONES DE VIDEOJUEGOS RECREATIVOS      ,9
7995,"APUESTAS(LOTERIA,CASINOS,CABALLOS, ETC )",9
7996,"PARQUE ATRACCIONES ,CIRCO,FERIAS,ADIVINA",9
7997,"CLUBS DEPORTIVOS, DE CAMPO,CURSO PRIVADO",9
7998,"ACUARIOS, DELFINARIOS                   ",9
7999,CLUBS/PUBS/BAR                          ,11
8011,MEDICOS SIN CLASIFICAR                  ,6
8021,DENTISTAS I ORTODONCISTAS               ,6
8031,MEDICOS OSTEOPATAS                      ,6
8041,QUIROPRACTICOS                          ,6
8042,OPTOMETRISTAS Y OFTALMOLOGOS            ,6
8043,"OPTICOS,ARTICULOS DE OPTICA             ",6
8049,PODOLOGOS Y PEDICUROS                   ,12
8050,SERVICIO DE ENFERMERIA Y CUIDADO PERSONA,6
8062,HOSPITALES                              ,6
8071,LABORATORIOS MEDICOS Y DENTALES         ,6
8099,SERVICIOS MEDICOS SIN CLASIFICAR        ,6
8111,SERVICIOS LEGALES Y ABOGADOS            ,12
8211,ESCUELA ELEMENTAL E INSTITUTOS BACHILLER,10
8220,"ACADEMIAS,UNIVERSIDADES,FORMACION PROFES",10
8241,ENSEÑANZA POR CORRESPONDENCIA           ,10
8244,COLEGIOS ENSEÃ‘ANZA PROF. Y AUTOESCUELAS ,10
8249,ESCUELAS VOCACIONALES Y COMERCIALES     ,10
8299,SERVICIOS ESCOLARES Y EDUCA. SIN CLASIFI,10
8351,SERVICIOS DE CUIDADOS INFANTILES        ,12
8398,ORGANIZACIONES DE CARIDAD Y S. SOCIALES ,non-consumption
8411,MUSEOS                                  ,9
8412,PATRIMONIO NACIONAL                     ,9
8641,"ASOCIACIONES CIVICAS,SOCIALES Y HERMANDA",non-consumption
8651,ORGANIZACIONES POLITICAS                ,12
8661,ORGANIZACIONES RELIGIOSAS               ,12
8675,ASOCIACIONES DEL AUTOMOVIL              ,12
8699,ORGANIZACIONES SIN CLASIFICAR           ,non-categorizable
8734,LABORATORIOS NO MEDICOS                 ,6
8911,DECORACION Y ARQUITECTURA               ,building
8931,"CONTABILIDAD,AUDITORIA Y TENEDURIA LIBRO",12
8999,SERVICIOS PROFESIONALES SIN CLASIFICAR  ,non-categorizable
9222,MULTAS                                  ,non-consumption
9223,PAGO FIANZAS Y DEPOSITOS                ,non-consumption
9311,PAGO DE IMPUESTOS                       ,non-consumption
9399,SERVICIOS GUBERNAMENTALES SIN CLASIFICAR,non-consumption
9402,SERVICIOS POSTALES SOLO DEL ESTADO      ,8
9405,INTRA-GOVERNMENT                        ,non-consumption
9406,LOTERIAS PROPIEDAD DE GOBIERNO          ,9
9990,OPERACIONES BBVA                        ,non-consumption
9999,ESTABLECIMIENTOS NO CLASIFICAD          ,non-categorizable
