MCC,Description (Spanish),Categorization
1466,MUEBLES DE COCINA                       ,5
1467,O.N.C.E.                                ,9
1468,ADOLFO DOMINGUEZ                        ,3
1469,NORAUTO                                 ,7
1470,FNAC                                    ,9
1471,GRANDES SUPERICIES FLORES Y PLANTAS     ,9
1472,G SUPERF DROGUERIAS/PERFUMERIAS         ,12
1473,G SUPERF FERRETERIA Y BRICOLAJE         ,building
1474,ALDEASA                                 ,supermarket
1475,MIRO                                    ,electronic goods
1476,PARADORES NACIONALES                    ,11
1477,CENTROS ENSEÑAZA UNIVERSITARIA         ,10
1478,RACC VIAJES                             ,9
1480,LEROY MERLIN                            ,building
1481,SERVICIO TRAFICO TELEFONICO             ,8
1482,INTERCAMBIO DE VACACIONES               ,11
1483,PORT-AVENTURA                           ,9
1484,CASINO DE MARBELLA (CANAMASA)           ,9
1485,TUI ESPAÑA TURISMO S.A.                 ,9
1486,VISIONLAB                               ,6
1487,CONFORAMA                               ,5
1488,MANGO                                   ,3
1489,PUJAS ENTIDADES FINANCIERAS             ,non-consumption
1490,PAGOS TRIBUTOS TASAS OFICIALES          ,non-consumption
1491,GLOBALIA VIAJES                         ,9
1493,DECATHLON                               ,sporting
1494,VIAJES MARSANS - INT. EXPRESO           ,9
1495,VIAJES BARCELO                          ,9
1496,GLOBALIA HOTELES                        ,11
1497,"VENTAS A BORDO, LINEAS AEREAS           ",non-categorizable
1498,TRAVELGENIO                             ,9
1500,CRÉDITOS EXPRÉS,non-consumption
1502,ORANGE VENTA DE RECARGAS                ,8
1503,MOVISTAR VENTA DE RECARGAS              ,8
1504,VODAFONE RECARGAS                       ,8
1505,VENTA ONLINE MULTIPRODUCTO              ,non-categorizable
1506,"EVELOP, S.L.                            ",7
1507,#REF!,1
1508,CORREOS EXPRESS                         ,8
1509,DINOSOL                                 ,supermarket
1510,#REF!,supermarket
1511,SPORT STREER (DECIMAS)                  ,sporting
1512,#REF!,7
1513,#REF!,12
1514,PUNT FRESC                              ,1
1520,CONTRATISTAS GENERALES EDIFICIOS RESIDEN,4
1521,AGIP                                    ,7
1522,BP OIL                                  ,7
1524,ALCAMPO GASOLINERAS                     ,7
1525,CARREFOUR GASOLINERAS                   ,7
1526,RETAIL OPERATING COMPANY                ,7
1527,MAKRO GASOLINERAS                       ,7
1528,LECLERC GASOLINERAS                     ,7
1529,GASOLINERAS EROSKI(TPVS ATEND)          ,7
1530,CORP.ALIMEN.GUISSONA GASOLINER          ,7
1531,DISA (GASOLINERAS)                      ,7
1711,CONTRATISTAS DE CALEF. FONTA. Y AIRE ACO,4
1731,CONTRATISTAS ELECTRICOS                 ,4
1740,"CONTRATISTA ALBAÑILERIA, PIEDRA, ETC    ",4
1750,CONTRATISTAS DE CARPINTERIA             ,4
1761,"CONTRATISTAS TEJADOS,PAREDES Y CHAPA    ",4
1771,CONTRATISTAS DE TRABAJOS DE CIMENTACION ,4
1799,CONTRATISTAS ESPECIALES SIN CLASIFICAR  ,4
2013,HOTEL (TERMINAL NO ATENDIDO)            ,11
2014,NH HOTELES PARKINGS (TNA)               ,7
2111,METRO (T.N.A)                           ,7
2131,FERROCAR.CERC-AUTOB (TNA)               ,7
2133,TRANSPORTE URBANO (TNA)                 ,7
2215,E.DE CORRESP.MEDIANTE MAQUINAS          ,non-categorizable
2216,LAVANDERIAS Y TINTORERIAS (TNA)         ,3
2231,PREPAGO SOCIOS GIMNASIOS(TNA)           ,9
2306,AENA TNA                                ,7
2310,VENTA DE SEGUROS(TERM.NO ATEN.          ,12
2316,TNAS BALLENOIL                          ,7
2325,TNAS PORTAL GAS NATURAL                 ,7
2338,ENTRADAS.COM (TNA)                      ,9
2339,MCDONALDS TNA                           ,11
2340,TNAS FRANQUICIADOS MCDONALS             ,11
2346,ENERGIAS SARAS TNA                      ,7
2348,ALSA TNA                                ,7
2360,SERVITICKET TNA                         ,9
2369,METRO BARCELONA (TNA)                   ,7
2376,SABA (TNA)                              ,7
2380,METRO MADRID -CHIP                      ,7
2385,PEPEMOBILE REC TELF TNA                 ,8
2386,CARREFOUR RECARGAS TNA                  ,8
2387,ALCAMPO RECARGAS TNA                    ,8
2388,EROSKI RECARGAS                         ,8
2397,CONDIS PARKINGS (TNA)                   ,7
2399,TERMINAL AUTOSERVICIO POSTAL            ,8
2401,BON PREU GASOLINERA TPV NO ATE          ,7
2411,MUSEOS (TNA)                            ,9
2412,RENFE(TERMINALES NO ATENDIDOS)          ,7
2414,ADIF PARKINGS (TNA)                     ,7
2420,CEPSA (TPVS NO ATENDIDOS)               ,7
2421,TNAS RESTAURACION                       ,11
2422,MAQUINAS VENDING                        ,1
2432,TERRA MITICA (T NO ATENDIDOS)           ,9
2434,UVESCO GASOLINERAS (TNA)                ,7
2437,DONACIONES BENEFICAS(T.NO ATE)          ,non-consumption
2453,SOCIEDADES SIN ANIMO LUCRO TNA          ,non-consumption
2454,RECARGA DE TARJETA TNA                  ,8
2459,OPENCOR VENDIND                         ,supermarket
2461,RECARGA TARJETAS ESTAB AUTOR TNA        ,8
2481,RECARGA TARJETAS TELEFONICAS TNA        ,8
2489,PUJAS ENTIDADES FINANC TNA              ,non-consumption
2490,PAGO TRIBUTOS TNA                       ,non-consumption
2501,VODAFONE RECARGAS TNA                   ,8
2502,ORANGE RECARGAS TNA                     ,8
2503,MOVISTAR RECARGAS TNA                   ,8
2511,LINEAS AEREAS(TER.NO ATENDIDO)          ,7
2512,#REF!,7
2520,PARQUIMETROS ORA                        ,7
2521,PETROLEOS DE PORTUGAL SA                ,7
2522,BP OIL (TPVS NO ATENDIDOS)              ,7
2523,GARAJES Y APARCAMIENTOS TNA             ,7
2524,ALCAMPO GASOLINERAS (TNA)               ,7
2525,CARREFOUR GASOLINERA (TNA)              ,7
2528,LECLERC GASOLINERA (TNA)                ,7
2529,EROSKI GASOLINERA (TNA)                 ,7
2530,COOP ALIM GUISSONA GASOLINERA (TNA)     ,7
2531,DISA (GASOLINERAS)TNA                   ,7
2541,GASOLINERAS (TNA)                       ,7
2543,REPSOL (TNA)                            ,7
2548,PARKING MELIA                           ,7
2722,AGENCIAS DE VIAJES(TNA)                 ,9
2732,SUS.A CANALES PRIV. DE TELEVIS          ,9
2741,MISCELLANEOUS PUBLISHING AND PRINTING   ,9
2791,"TYPESETTING,PLATEMAKING AND RELATED SERV",9
2829,ENVIO DE DINERO TNA                     ,non-consumption
2842,"LIMPIEZA ESPECIAL,PULIMIENTO Y SANEAMIEN",4
2912,FARMACIAS (TNA)                         ,6
2941,ESP.Y DEPOR.VENTA ENTRADAS (TNA)        ,9
2942,"LIBROS,DISCOS,CD'S (TNA)                ",9
2946,ALQUILER DE VIDEOS(TNA)                 ,9
2959,EL CORTE INGLES TNAS APARCAMIENTOS      ,7
2961,VENTAS DIFERIDAS (TNA)                  ,non-categorizable
2993,MAQUINAS EXPENDEDORAS TABACO (T.N.A)    ,2
2994,SUSCRIPCION A PUBLIC.PERIODICAS(TNA)    ,9
2995,EMISION CERTIFICADOS OFICIALES(T.N.A.)  ,non-consumption
3000,UNITED AIR                              ,7
3001,AMERICAN AIRLINES                       ,7
3005,BRITIH AIRWAYS-BRITISH A                ,7
3006,JAPAN AIRLINES                          ,7
3007,AIR FRANCE                              ,7
3008,LUFTHANSA                               ,7
3009,AIR CANADA - AIR CAN                    ,7
3010,KLM AIRLINES                            ,7
3011,AEROFLOT                                ,7
3012,QANTAS AIR                              ,7
3013,ALITALIA                                ,7
3014,SAUDIA AIR                              ,7
3015,SWISS AIR                               ,7
3016,SAS                                     ,7
3017,SAA AIRWAYS                             ,7
3018,VARIG                                   ,7
3020,AIR INDIA                               ,7
3021,AIR ALGERIE                             ,7
3022,PHILIPP AIR                             ,7
3024,PAKISTAN AIR                            ,7
3025,AIR NZ                                  ,7
3026,EMIRATES                                ,7
3028,AIR MALTA                               ,7
3029,SN BRUSELL AIRLINES-SNBRU AIR           ,7
3030,AEROLINEAS ARGENTINAS                   ,7
3031,OLYMPIC AIR                             ,7
3032,EL AL                                   ,7
3033,ANSETT AIR                              ,7
