MCC,noga4,noga3,noga2,our_code,our_category,Description,General Merchant Category Codes,Valid Payment Brand(s)
7230,9602,960,96,PER,Personal Services,Barber and Beauty Shops,Miscellaneous Stores,"V, M"
7221,7420,742,74,PRS,Professional Services,Photographic Studios,Miscellaneous Stores,"V, M"
7217,9601,960,96,PER,Personal Services,Carpet and Upholstery Cleaning,Miscellaneous Stores,"V, M"
7216,9601,960,96,PER,Personal Services,Dry Cleaners,Miscellaneous Stores,"V, M"
7211,9601,960,96,PER,Personal Services,Laundry Services–Family and Commercial,Miscellaneous Stores,"V, M"
7210,9601,960,96,PER,Personal Services,"Cleaning, Garment and Laundry Services",Miscellaneous Stores,"V, M"
7033,5530,553,55,ACC,Accomodation,Campgrounds and Trailer Parks,Miscellaneous Stores,"V, M"
7032,5520,552,55,ACC,Accomodation,Sporting and Recreational Camps,Miscellaneous Stores,"V, M"
7012,5520,552,55,ACC,Accomodation,Timeshares,Miscellaneous Stores,"V, M"
7011,5510,551,55,ACC,Accomodation,"Lodging–Hotels, Motels, Resorts–not elsewhere
classified",Miscellaneous Stores,"V, M"
7005,9200,920,92,ENT,Entertainment & Sports,NA,NA,NA
6540,6619;6411;6419,661,66,FIN,Financial Services,"POI (Point of Interaction) Funding Transactions
(Excluding MoneySend)",Miscellaneous Stores,M
6539,6619;6411;6419,661,66,FIN,Financial Services,Funding Transaction (Excluding MoneySend),Miscellaneous Stores,M
6538,6411;6419;6619,641,64,FIN,Financial Services,MoneySend Funding,Miscellaneous Stores,M
6537,6411;6419;6619,641,64,FIN,Financial Services,MoneySend Intercountry,Miscellaneous Stores,M
6536,6411;6419;6619,641,64,FIN,Financial Services,MoneySend Intracountry,Miscellaneous Stores,M
6513,6831;6832,683,68,PRS,Professional Services,Real Estate Agents and Managers–Rentals,Miscellaneous Stores,"V, M"
6300,6622;6511;6520;6512,662,66,FIN,Financial Services,"Insurance Sales, Underwriting and Premiums",Miscellaneous Stores,"V, M"
6211,6612;6622,661,66,FIN,Financial Services,Securities–Brokers and Dealers,Miscellaneous Stores,"V, M"
6051,6411;6419,641,64,FIN,Financial Services,Quasi Cash–Merchant,Miscellaneous Stores,"V, M"
6050,6411;6419,641,64,FIN,Financial Services,Quasi Cash–Member Financial Institution,Miscellaneous Stores,M
6012,6411;6419,641,64,FIN,Financial Services,"Member Financial Institution–Merchandise And
Services",Miscellaneous Stores,"V, M"
6011,6411;6419,641,64,C,Cash,"Member Financial Institution–Automated Cash
Disbursements",Miscellaneous Stores,"V, M"
6010,6411;6419,641,64,C,Cash,"Member Financial Institution–Manual Cash
Disbursements",Miscellaneous Stores,"V, M"
