MCC,noga4,noga3,noga2,our_code,our_category,Description,General Merchant Category Codes,Valid Payment Brand(s)
3823,5510,551,55,ACC,Accomodation,Grand Sierra Resort,Lodging,"V, M"
3822,5510,551,55,ACC,Accomodation,Crossland,Lodging,"V, M"
3821,5510,551,55,ACC,Accomodation,Caribe Royal,Lodging,"V, M"
3820,5510,551,55,ACC,Accomodation,Jumeirah Essex House,Lodging,"V, M"
3819,5510,551,55,ACC,Accomodation,Oxford Suites,Lodging,"V, M"
3818,5510,551,55,ACC,Accomodation,Mainstay Suites,Lodging,"V, M"
3817,5510,551,55,ACC,Accomodation,Affinia,Lodging,M
3816,5510,551,55,ACC,Accomodation,Home2Suites,Lodging,"V, M"
3815,5510,551,55,ACC,Accomodation,Nickelodeon Family Suites by Holiday Inn,Lodging,"V, M"
3814,5510,551,55,ACC,Accomodation,The Roosevelt Hotel NY,Lodging,"V, M"
3813,5510,551,55,ACC,Accomodation,Hotel Indigo,Lodging,"V, M"
3812,5510,551,55,ACC,Accomodation,Hyatt Place,Lodging,"V, M"
3811,5510,551,55,ACC,Accomodation,Premier Travel Inns,Lodging,"V, M"
3810,5510,551,55,ACC,Accomodation,La Costa Resort,Lodging,M
3809,5510,551,55,ACC,Accomodation,Settle Inn,Lodging,M
3808,5510,551,55,ACC,Accomodation,LXR (Luxury Resorts),Lodging,"V, M"
3807,5510,551,55,ACC,Accomodation,Element,Lodging,"V, M"
3806,5510,551,55,ACC,Accomodation,Princeville Resort,Lodging,M
3805,5510,551,55,ACC,Accomodation,The Atlantic,Lodging,M
3804,5510,551,55,ACC,Accomodation,The Diplomat Country Club and Spa,Lodging,M
3803,5510,551,55,ACC,Accomodation,The Wigwam Golf Resort and Spa,Lodging,M
3802,5510,551,55,ACC,Accomodation,The Palace Hotel,Lodging,"V, M"
3801,5510,551,55,ACC,Accomodation,Wilderness Hotel and Resort,Lodging,"V, M"
3800,5510,551,55,ACC,Accomodation,Homestead Suites,Lodging,"V, M"
3799,5510,551,55,ACC,Accomodation,Hale Koa Hotel,Lodging,"V, M"
3798,5510,551,55,ACC,Accomodation,Embassy Vacation Resort,Lodging,"V, M"
3797,5510,551,55,ACC,Accomodation,Atlantic City Hilton,Lodging,"V, M"
3796,5510,551,55,ACC,Accomodation,Peppermill Hotel Casino,Lodging,"V, M"
3795,5510,551,55,ACC,Accomodation,Paris Las Vegas Hotel,Lodging,"V, M"
3794,5510,551,55,ACC,Accomodation,Grand Casino Hotels,Lodging,"V, M"
3793,5510,551,55,ACC,Accomodation,The Flamingo Hotels,Lodging,"V, M"
3792,5510,551,55,ACC,Accomodation,Claridge Casino Hotel,Lodging,"V, M"
3791,5510,551,55,ACC,Accomodation,Staybridge Suites,Lodging,"V, M"
3790,5510,551,55,ACC,Accomodation,Raffles Hotels,Lodging,"V, M"
3789,5510,551,55,ACC,Accomodation,Smugglers Notch Resort,Lodging,"V, M"
3788,5510,551,55,ACC,Accomodation,Ala Moana Hotel,Lodging,"V, M"
3787,5510,551,55,ACC,Accomodation,Caribe Royal Resort Suite and Villas,Lodging,"V, M"
3786,5510,551,55,ACC,Accomodation,Ohana Hotels of Hawaii,Lodging,"V, M"
3785,5510,551,55,ACC,Accomodation,Outrigger Hotels and Resorts,Lodging,"V, M"
3784,5510,551,55,ACC,Accomodation,First Hospitality Hotels,Lodging,"V, M"
3783,5510,551,55,ACC,Accomodation,Town and Country Resort and Convention Center,Lodging,"V, M"
3782,5510,551,55,ACC,Accomodation,Rosen Hotel and Resorts,Lodging,"V, M"
3781,5510,551,55,ACC,Accomodation,Patricia Grand Resort Hotels,Lodging,"V, M"
3780,5510,551,55,ACC,Accomodation,Disneyland Resorts,Lodging,"V, M"
3779,5510,551,55,ACC,Accomodation,W Hotels,Lodging,"V, M"
3778,5510,551,55,ACC,Accomodation,Four Points Hotels,Lodging,"V, M"
3777,5510,551,55,ACC,Accomodation,Mandalay Bay Resort,Lodging,"V, M"
3776,5510,551,55,ACC,Accomodation,Nevele Grande Resort and Country Club,Lodging,"V, M"
3775,5510,551,55,ACC,Accomodation,Sands Resort,Lodging,"V, M"
3774,5510,551,55,ACC,Accomodation,New York-New York Hotel and Casino,Lodging,"V, M"
3773,5510,551,55,ACC,Accomodation,Venetian Resort Hotel and Casino,Lodging,"V, M"
3772,5510,551,55,ACC,Accomodation,Nemacolin Woodlands,Lodging,"V, M"
3771,5510,551,55,ACC,Accomodation,Caesars Hotel and Casino,Lodging,"V, M"
3770,5510,551,55,ACC,Accomodation,Springhill Suites,Lodging,"V, M"
3769,5510,551,55,ACC,Accomodation,Stratosphere Hotel and Casino,Lodging,"V, M"
3768,5510,551,55,ACC,Accomodation,Silver Star Hotel and Casino,Lodging,"V, M"
3767,5510,551,55,ACC,Accomodation,Main Street Station Hotel and Casino,Lodging,"V, M"
3766,5510,551,55,ACC,Accomodation,Fremont Hotel and Casino,Lodging,"V, M"
3765,5510,551,55,ACC,Accomodation,Bellagio,Lodging,"V, M"
3764,5510,551,55,ACC,Accomodation,Beau Rivage Hotel and Casino,Lodging,"V, M"
3763,5510,551,55,ACC,Accomodation,Chateau Elan Winery and Resort,Lodging,"V, M"
3762,5510,551,55,ACC,Accomodation,Whiskey Pete’s Hotel and Casino,Lodging,"V, M"
3761,5510,551,55,ACC,Accomodation,Primadonna Hotel and Casino,Lodging,"V, M"
3760,5510,551,55,ACC,Accomodation,Halekulani Hotel/Waikiki Parc,Lodging,"V, M"
3759,5510,551,55,ACC,Accomodation,Orchid At Mauna Lai,Lodging,"V, M"
3758,5510,551,55,ACC,Accomodation,Kahala Mandarin Oriental Hotel,Lodging,"V, M"
3755,5510,551,55,ACC,Accomodation,Homestead,Lodging,"V, M"
3754,5510,551,55,ACC,Accomodation,Amelia Island Plantation,Lodging,"V, M"
3753,5510,551,55,ACC,Accomodation,Greenbriar Resorts,Lodging,"V, M"
3752,5510,551,55,ACC,Accomodation,Peabody Hotels,Lodging,"V, M"
3751,5510,551,55,ACC,Accomodation,Homewood Suites,Lodging,"V, M"
3750,5510,551,55,ACC,Accomodation,Crowne Plaza Hotels,Lodging,"V, M"
3749,5510,551,55,ACC,Accomodation,Beverly Hills Hotel,Lodging,"V, M"
3748,5510,551,55,ACC,Accomodation,Wellesley Inns,Lodging,"V, M"
3747,5510,551,55,ACC,Accomodation,Club Corporation/Club Resorts,Lodging,"V, M"
3746,5510,551,55,ACC,Accomodation,The Eliot Hotel,Lodging,"V, M"
3745,5510,551,55,ACC,Accomodation,St. Regis Hotel,Lodging,"V, M"
3744,5510,551,55,ACC,Accomodation,Carefree Resorts,Lodging,"V, M"
3743,5510,551,55,ACC,Accomodation,Biltmore Hotel and Suites,Lodging,"V, M"
3742,5510,551,55,ACC,Accomodation,Club Med,Lodging,"V, M"
3741,5510,551,55,ACC,Accomodation,Millennium Broadway Hotel,Lodging,"V, M"
3740,5510,551,55,ACC,Accomodation,Towneplace Suites,Lodging,"V, M"
3739,5510,551,55,ACC,Accomodation,Woodside Hotels and Resorts,Lodging,"V, M"
3738,5510,551,55,ACC,Accomodation,Tropicana Resort and Casino,Lodging,"V, M"
3737,5510,551,55,ACC,Accomodation,Riviera Hotel and Casino,Lodging,"V, M"
3736,5510,551,55,ACC,Accomodation,Colorado Belle Edgewater Resort,Lodging,"V, M"
3735,5510,551,55,ACC,Accomodation,Masters Economy Inns,Lodging,"V, M"
3734,5510,551,55,ACC,Accomodation,Harvey Bristol Hotels,Lodging,"V, M"
3733,5510,551,55,ACC,Accomodation,Boca Raton Resort,Lodging,M
3732,5510,551,55,ACC,Accomodation,Opryland Hotel,Lodging,"V, M"
3731,5510,551,55,ACC,Accomodation,Harrah’s Hotels and Casinos,Lodging,"V, M"
3730,5510,551,55,ACC,Accomodation,MGM Grand Hotel,Lodging,"V, M"
3729,5510,551,55,ACC,Accomodation,John Ascuagas Nugget,Lodging,"V, M"
3728,5510,551,55,ACC,Accomodation,Ballys Hotel and Casino,Lodging,"V, M"
3727,5510,551,55,ACC,Accomodation,Broadmoor Hotel,Lodging,"V, M"
3726,5510,551,55,ACC,Accomodation,Rio Suites,Lodging,"V, M"
3725,5510,551,55,ACC,Accomodation,Sea Pines Resort,Lodging,"V, M"
3724,5510,551,55,ACC,Accomodation,Inter Nor Hotels,Lodging,"V, M"
3723,5510,551,55,ACC,Accomodation,Rica Hotels,Lodging,"V, M"
3722,5510,551,55,ACC,Accomodation,Wyndham,Lodging,"V, M"
3721,5510,551,55,ACC,Accomodation,Conrad Hotels,Lodging,"V, M"
3720,5510,551,55,ACC,Accomodation,Southern Sun Hotels,Lodging,"V, M"
3719,5510,551,55,ACC,Accomodation,Protea Hotels,Lodging,"V, M"
3718,5510,551,55,ACC,Accomodation,Karos Hotels,Lodging,"V, M"
3717,5510,551,55,ACC,Accomodation,City Lodge Hotels,Lodging,"V, M"
3716,5510,551,55,ACC,Accomodation,Carlton Hotels,Lodging,"V, M"
3715,5510,551,55,ACC,Accomodation,Fairfield Inn,Lodging,"V, M"
3714,5510,551,55,ACC,Accomodation,Four Seasons (Australia),Lodging,"V, M"
3713,5510,551,55,ACC,Accomodation,Quality Pacific Hotel,Lodging,"V, M"
3712,5510,551,55,ACC,Accomodation,Buffalo Bills Hotel and Casino,Lodging,"V, M"
3711,5510,551,55,ACC,Accomodation,Flag Inns (Australia),Lodging,"V, M"
3710,5510,551,55,ACC,Accomodation,Ritz-Carlton,Lodging,"V, M"
3709,5510,551,55,ACC,Accomodation,Super 8 Motel,Lodging,"V, M"
3708,5510,551,55,ACC,Accomodation,Virgin River Hotel and Casino,Lodging,"V, M"
3707,5510,551,55,ACC,Accomodation,Shoneys Inn,Lodging,"V, M"
3706,5510,551,55,ACC,Accomodation,Shilo Inn,Lodging,"V, M"
3705,5510,551,55,ACC,Accomodation,Sandman Inn,Lodging,"V, M"
3704,5510,551,55,ACC,Accomodation,Royce Hotel,Lodging,"V, M"
3703,5510,551,55,ACC,Accomodation,Residence Inn,Lodging,"V, M"
3702,5510,551,55,ACC,Accomodation,Registry Hotels,Lodging,"V, M"
3701,5510,551,55,ACC,Accomodation,La Mansion Del Rio,Lodging,"V, M"
3700,5510,551,55,ACC,Accomodation,Motel 6,Lodging,"V, M"
3699,5510,551,55,ACC,Accomodation,Midway Motor Lodge,Lodging,"V, M"
3698,5510,551,55,ACC,Accomodation,Harley Hotel,Lodging,"V, M"
3697,5510,551,55,ACC,Accomodation,Fairfield Hotel,Lodging,"V, M"
3696,5510,551,55,ACC,Accomodation,Excel Inn,Lodging,"V, M"
3695,5510,551,55,ACC,Accomodation,Embassy Suites,Lodging,"V, M"
3694,5510,551,55,ACC,Accomodation,Economy Inns Of America,Lodging,"V, M"
3693,5510,551,55,ACC,Accomodation,Drury Inn,Lodging,"V, M"
3692,5510,551,55,ACC,Accomodation,Doubletree,Lodging,"V, M"
3691,5510,551,55,ACC,Accomodation,Dillon Inn,Lodging,"V, M"
3690,5510,551,55,ACC,Accomodation,Courtyard by Marriott,Lodging,"V, M"
3689,5510,551,55,ACC,Accomodation,Consort,Lodging,"V, M"
3688,5510,551,55,ACC,Accomodation,Compri Hotel,Lodging,"V, M"
3687,5510,551,55,ACC,Accomodation,Clarion Hotel,Lodging,"V, M"
3686,5510,551,55,ACC,Accomodation,Suisse Chalet,Lodging,"V, M"
3685,5510,551,55,ACC,Accomodation,Budgetel,Lodging,"V, M"
3684,5510,551,55,ACC,Accomodation,Budget Host Inns,Lodging,"V, M"
3683,5510,551,55,ACC,Accomodation,Bradbury Suites,Lodging,"V, M"
3682,5510,551,55,ACC,Accomodation,Sahara Hotel and Casino,Lodging,"V, M"
3681,5510,551,55,ACC,Accomodation,Adams Mark,Lodging,"V, M"
3680,5510,551,55,ACC,Accomodation,Hoteis Othan,Lodging,"V, M"
3679,5510,551,55,ACC,Accomodation,Silver Legacy Hotel and Casino,Lodging,"V, M"
3678,5510,551,55,ACC,Accomodation,Cumulus Hotels,Lodging,"V, M"
3677,5510,551,55,ACC,Accomodation,Climat De France,Lodging,"V, M"
3676,5510,551,55,ACC,Accomodation,Monte Carlo Hotel and Casino,Lodging,"V, M"
3675,5510,551,55,ACC,Accomodation,Interhotel Cedok,Lodging,"V, M"
3674,5510,551,55,ACC,Accomodation,Rantasipi Hotels,Lodging,"V, M"
3673,5510,551,55,ACC,Accomodation,Ibusz Hotels,Lodging,"V, M"
3672,5510,551,55,ACC,Accomodation,Campanile,Lodging,"V, M"
3671,5510,551,55,ACC,Accomodation,Arctia,Lodging,"V, M"
3670,5510,551,55,ACC,Accomodation,Arcade,Lodging,"V, M"
3669,5510,551,55,ACC,Accomodation,Eldorado Hotel and Casino,Lodging,"V, M"
3668,5510,551,55,ACC,Accomodation,Maritim,Lodging,"V, M"
3667,5510,551,55,ACC,Accomodation,Luxor Hotel and Casino,Lodging,"V, M"
3666,5510,551,55,ACC,Accomodation,Stakis Hotels,Lodging,"V, M"
3665,5510,551,55,ACC,Accomodation,Hampton Inns,Lodging,"V, M"
3664,5510,551,55,ACC,Accomodation,Flag Inns,Lodging,"V, M"
3663,5510,551,55,ACC,Accomodation,Hoteles El Presidente,Lodging,"V, M"
3662,5510,551,55,ACC,Accomodation,Circus Circus Hotel and Casino,Lodging,"V, M"
3661,5510,551,55,ACC,Accomodation,Metropole Hotels,Lodging,"V, M"
3660,5510,551,55,ACC,Accomodation,Knights Inn,Lodging,"V, M"
3659,5510,551,55,ACC,Accomodation,Taj Hotels Intl,Lodging,"V, M"
3658,5510,551,55,ACC,Accomodation,New Otani Hotels,Lodging,"V, M"
3657,5510,551,55,ACC,Accomodation,Oberoi Hotels,Lodging,"V, M"
3656,5510,551,55,ACC,Accomodation,Sara Hotels,Lodging,"V, M"
3655,5510,551,55,ACC,Accomodation,Scandic Hotels,Lodging,"V, M"
3654,5510,551,55,ACC,Accomodation,Loews Hotels,Lodging,"V, M"
3653,5510,551,55,ACC,Accomodation,Penta Hotels,Lodging,"V, M"
3652,5510,551,55,ACC,Accomodation,Embassy Hotels,Lodging,"V, M"
3651,5510,551,55,ACC,Accomodation,Imperial London Hotels,Lodging,"V, M"
3650,5510,551,55,ACC,Accomodation,Red Roof Inns,Lodging,"V, M"
3649,5510,551,55,ACC,Accomodation,Radisson,Lodging,"V, M"
3648,5510,551,55,ACC,Accomodation,De Vere Hotels,Lodging,"V, M"
3647,5510,551,55,ACC,Accomodation,Grupo Hotels HUSA SA,Lodging,"V, M"
3646,5510,551,55,ACC,Accomodation,Swallow Hotels,Lodging,"V, M"
3645,5510,551,55,ACC,Accomodation,Queens Moat Houses,Lodging,"V, M"
3644,5510,551,55,ACC,Accomodation,Econo-Travel Motor Hotel,Lodging,"V, M"
3643,5510,551,55,ACC,Accomodation,Steigenberger,Lodging,"V, M"
3642,5510,551,55,ACC,Accomodation,Novotel Sieh (Accor),Lodging,"V, M"
3641,5510,551,55,ACC,Accomodation,Sofitel Hotels,Lodging,"V, M"
3640,5510,551,55,ACC,Accomodation,Hyatt Hotels/International,Lodging,"V, M"
3639,5510,551,55,ACC,Accomodation,Mount Charlotte Hotels,Lodging,"V, M"
3638,5510,551,55,ACC,Accomodation,Howard Johnson,Lodging,"V, M"
3637,5510,551,55,ACC,Accomodation,Ramada Inns,Lodging,"V, M"
3636,5510,551,55,ACC,Accomodation,Sarova Hotels,Lodging,"V, M"
3635,5510,551,55,ACC,Accomodation,Reso Hotels,Lodging,"V, M"
3634,5510,551,55,ACC,Accomodation,Swissotel,Lodging,"V, M"
3633,5510,551,55,ACC,Accomodation,Rank Hotels,Lodging,"V, M"
3632,5510,551,55,ACC,Accomodation,The Phoenician,Lodging,"V, M"
3631,5510,551,55,ACC,Accomodation,Sleep Inn,Lodging,"V, M"
3630,5510,551,55,ACC,Accomodation,Extended Stay Deluxe,Lodging,"V, M"
3629,5510,551,55,ACC,Accomodation,Dan Hotels,Lodging,"V, M"
3628,5510,551,55,ACC,Accomodation,Excalibur Hotel and Casino,Lodging,"V, M"
3627,5510,551,55,ACC,Accomodation,Extended Stay America,Lodging,"V, M"
3626,5510,551,55,ACC,Accomodation,Studio Plus,Lodging,"V, M"
3625,5510,551,55,ACC,Accomodation,Hotel Universal,Lodging,"V, M"
3624,5510,551,55,ACC,Accomodation,Lady Luck Hotel and Casino,Lodging,"V, M"
3623,5510,551,55,ACC,Accomodation,Dorint Hotels,Lodging,"V, M"
3622,5510,551,55,ACC,Accomodation,Merlin Hotel (Perth),Lodging,"V, M"
3621,5510,551,55,ACC,Accomodation,Extended Stay,Lodging,"V, M"
3620,5510,551,55,ACC,Accomodation,Binions Horseshoe Club,Lodging,"V, M"
3619,5510,551,55,ACC,Accomodation,Aloft,Lodging,"V, M"
3618,5510,551,55,ACC,Accomodation,Great Wolf,Lodging,"V, M"
3617,5510,551,55,ACC,Accomodation,America’s Best Value Inn,Lodging,"V, M"
3616,5510,551,55,ACC,Accomodation,Hermitage Hotels,Lodging,M
3615,5510,551,55,ACC,Accomodation,Travelodge Motels,Lodging,"V, M"
3614,5510,551,55,ACC,Accomodation,AmericInn,Lodging,"V, M"
3613,5510,551,55,ACC,Accomodation,Microtel Inn and Suites,Lodging,"V, M"
3612,5510,551,55,ACC,Accomodation,Moevenpick,Lodging,"V, M"
3611,5510,551,55,ACC,Accomodation,C MON INN,Lodging,M
3610,5510,551,55,ACC,Accomodation,Gaylord Texan,Lodging,M
3609,5510,551,55,ACC,Accomodation,Gaylord Palms,Lodging,"V, M"
3608,5510,551,55,ACC,Accomodation,Gaylord Opryland,Lodging,"V, M"
3607,5510,551,55,ACC,Accomodation,Fontainebleau Resort,Lodging,"V, M"
3606,5510,551,55,ACC,Accomodation,Jefferson Hotel,Lodging,M
3605,5510,551,55,ACC,Accomodation,Jurys Doyle Hotel Group,Lodging,M
3604,5510,551,55,ACC,Accomodation,Hilton Garden Inn,Lodging,"V, M"
3603,5510,551,55,ACC,Accomodation,Noahs Hotel (Melbourne),Lodging,"V, M"
3602,5510,551,55,ACC,Accomodation,Hudson Hotel,Lodging,"V, M"
3601,5510,551,55,ACC,Accomodation,Tradewinds Resort,Lodging,"V, M"
3600,5510,551,55,ACC,Accomodation,Saddlebrook Resort–Tampa,Lodging,"V, M"
3599,5510,551,55,ACC,Accomodation,Pannonia Hotels,Lodging,"V, M"
3598,5510,551,55,ACC,Accomodation,Regent Hotels,Lodging,"V, M"
3597,5510,551,55,ACC,Accomodation,Riverside Resort and Casino,Lodging,"V, M"
3596,5510,551,55,ACC,Accomodation,Wynn Las Vegas,Lodging,"V, M"
3595,5510,551,55,ACC,Accomodation,Hospitality Inns,Lodging,"V, M"
3594,5510,551,55,ACC,Accomodation,Arizona Biltmore,Lodging,"V, M"
3593,5510,551,55,ACC,Accomodation,Cunard Hotels,Lodging,"V, M"
3592,5510,551,55,ACC,Accomodation,Omni International,Lodging,"V, M"
3591,5510,551,55,ACC,Accomodation,Sonesta International Hotels,Lodging,"V, M"
3590,5510,551,55,ACC,Accomodation,Fairmont Hotels Corporation,Lodging,"V, M"
3589,5510,551,55,ACC,Accomodation,Doral Golf Resort,Lodging,"V, M"
3588,5510,551,55,ACC,Accomodation,Helmsley Hotels,Lodging,"V, M"
3587,5510,551,55,ACC,Accomodation,Doral Hotels,Lodging,"V, M"
3586,5510,551,55,ACC,Accomodation,Sokos Hotel,Lodging,"V, M"
3585,5510,551,55,ACC,Accomodation,Hungar Hotels,Lodging,"V, M"
3584,5510,551,55,ACC,Accomodation,Princess Hotels International,Lodging,"V, M"
3583,5510,551,55,ACC,Accomodation,Radisson BLU,Lodging,"V, M"
3582,5510,551,55,ACC,Accomodation,California Hotel and Casino,Lodging,"V, M"
3581,5510,551,55,ACC,Accomodation,Delta Hotels,Lodging,"V, M"
3580,5510,551,55,ACC,Accomodation,Hotel Del Coronado,Lodging,"V, M"
3579,5510,551,55,ACC,Accomodation,Hotel Mercure,Lodging,"V, M"
3578,5510,551,55,ACC,Accomodation,Frankenmuth Bavarian,Lodging,"V, M"
3577,5510,551,55,ACC,Accomodation,Mandarin International,Lodging,"V, M"
3576,5510,551,55,ACC,Accomodation,La Quinta Resort,Lodging,"V, M"
3575,5510,551,55,ACC,Accomodation,Vagabond Hotels,Lodging,"V, M"
3574,5510,551,55,ACC,Accomodation,Venture Inn,Lodging,"V, M"
3573,5510,551,55,ACC,Accomodation,Sandman Hotels,Lodging,"V, M"
3572,5510,551,55,ACC,Accomodation,Miyako Hotel/Kintetsu,Lodging,"V, M"
3571,5510,551,55,ACC,Accomodation,Grand Wailea Resort,Lodging,"V, M"
3570,5510,551,55,ACC,Accomodation,Grand Met Forum Hotels,Lodging,"V, M"
3569,5510,551,55,ACC,Accomodation,Tribeca Grand Hotel,Lodging,"V, M"
3568,5510,551,55,ACC,Accomodation,Ladbroke Hotels,Lodging,"V, M"
3567,5510,551,55,ACC,Accomodation,Soho Grand Hotel,Lodging,"V, M"
3566,5510,551,55,ACC,Accomodation,Garden Place Hotel,Lodging,"V, M"
3565,5510,551,55,ACC,Accomodation,Relax Inns,Lodging,"V, M"
3564,5510,551,55,ACC,Accomodation,Sams Town Hotel and Casino,Lodging,"V, M"
3563,5510,551,55,ACC,Accomodation,Journeys End Motels,Lodging,"V, M"
3562,5510,551,55,ACC,Accomodation,Comfort Hotel International,Lodging,"V, M"
3561,5510,551,55,ACC,Accomodation,Golden Nugget,Lodging,"V, M"
3560,5510,551,55,ACC,Accomodation,Aladdin Resort and Casino,Lodging,"V, M"
3559,5510,551,55,ACC,Accomodation,Candlewood Suites,Lodging,"V, M"
3558,5510,551,55,ACC,Accomodation,Jolly Hotels,Lodging,"V, M"
3557,5510,551,55,ACC,Accomodation,Manhattan East Suite Hotels,Lodging,"V, M"
3556,5510,551,55,ACC,Accomodation,Barton Creek Resort,Lodging,"V, M"
3555,5510,551,55,ACC,Accomodation,Treasure Island Hotel and Casino,Lodging,"V, M"
3554,5510,551,55,ACC,Accomodation,Pinehurst Resort,Lodging,"V, M"
3553,5510,551,55,ACC,Accomodation,Parks Inns International,Lodging,"V, M"
3552,5510,551,55,ACC,Accomodation,Coast Hotels,Lodging,"V, M"
3551,5510,551,55,ACC,Accomodation,Mirage Hotel and Casino,Lodging,"V, M"
3550,5510,551,55,ACC,Accomodation,Regal 8 Inns,Lodging,"V, M"
3549,5510,551,55,ACC,Accomodation,Auberge Des Governeurs,Lodging,"V, M"
3548,5510,551,55,ACC,Accomodation,Hotels Melia,Lodging,"V, M"
3547,5510,551,55,ACC,Accomodation,Breakers Resort,Lodging,M
3546,5510,551,55,ACC,Accomodation,Hotel Sierra,Lodging,"V, M"
3545,5510,551,55,ACC,Accomodation,Shangri-La International,Lodging,"V, M"
3544,5510,551,55,ACC,Accomodation,Cigahotels,Lodging,"V, M"
3543,5510,551,55,ACC,Accomodation,Four Seasons,Lodging,"V, M"
3542,5510,551,55,ACC,Accomodation,Royal Hotels,Lodging,"V, M"
3541,5510,551,55,ACC,Accomodation,Hotel Okura,Lodging,"V, M"
3540,5510,551,55,ACC,Accomodation,Iberotel,Lodging,"V, M"
3539,5510,551,55,ACC,Accomodation,Summerfield Suites Hotel,Lodging,"V, M"
3538,5510,551,55,ACC,Accomodation,Concorde Hotels,Lodging,"V, M"
3537,5510,551,55,ACC,Accomodation,Ana Hotels,Lodging,"V, M"
3536,5510,551,55,ACC,Accomodation,AMFAC Hotels,Lodging,"V, M"
3535,5510,551,55,ACC,Accomodation,Hilton International,Lodging,"V, M"
3534,5510,551,55,ACC,Accomodation,Southern Pacific Hotel,Lodging,"V, M"
3533,5510,551,55,ACC,Accomodation,Park Inn by Radisson,Lodging,"V, M"
3532,5510,551,55,ACC,Accomodation,Royal Kona Resort,Lodging,"V, M"
3531,5510,551,55,ACC,Accomodation,Kauai Coconut Beach Resort,Lodging,"V, M"
3530,5510,551,55,ACC,Accomodation,Renaissance Hotels,Lodging,"V, M"
3529,5510,551,55,ACC,Accomodation,CP (Canadian Pacific),Lodging,"V, M"
3528,5510,551,55,ACC,Accomodation,Thunderbird/Red Lion,Lodging,"V, M"
3527,5510,551,55,ACC,Accomodation,Downtowner Passport,Lodging,"V, M"
3526,5510,551,55,ACC,Accomodation,Prince Hotels,Lodging,"V, M"
3525,5510,551,55,ACC,Accomodation,Dunfey Hotels,Lodging,"V, M"
3524,5510,551,55,ACC,Accomodation,Welcomgroup,Lodging,"V, M"
3523,5510,551,55,ACC,Accomodation,Peninsula Hotels,Lodging,"V, M"
3522,5510,551,55,ACC,Accomodation,Tokyo Group,Lodging,"V, M"
3521,5510,551,55,ACC,Accomodation,Crest Hotels,Lodging,"V, M"
3520,5510,551,55,ACC,Accomodation,Meridien,Lodging,"V, M"
3519,5510,551,55,ACC,Accomodation,PLM/ETAP International,Lodging,"V, M"
3518,5510,551,55,ACC,Accomodation,Sol Hotels,Lodging,"V, M"
3517,5510,551,55,ACC,Accomodation,Americana Hotels Corporation,Lodging,"V, M"
3516,5510,551,55,ACC,Accomodation,La Quinta Motor Inns,Lodging,"V, M"
3515,5510,551,55,ACC,Accomodation,Rodeway Inns International,Lodging,"V, M"
3514,5510,551,55,ACC,Accomodation,Amerisuites,Lodging,"V, M"
3513,5510,551,55,ACC,Accomodation,Westin Hotels,Lodging,"V, M"
3512,5510,551,55,ACC,Accomodation,Intercontinental,Lodging,"V, M"
3511,5510,551,55,ACC,Accomodation,Arabella Hotels,Lodging,"V, M"
3510,5510,551,55,ACC,Accomodation,Days Inns Of America,Lodging,"V, M"
3509,5510,551,55,ACC,Accomodation,Marriott,Lodging,"V, M"
3508,5510,551,55,ACC,Accomodation,Quality International,Lodging,"V, M"
3507,5510,551,55,ACC,Accomodation,Friendship Inns International,Lodging,"V, M"
3506,5510,551,55,ACC,Accomodation,Golden Tulip,Lodging,"V, M"
3505,5510,551,55,ACC,Accomodation,Trusthouse Forte,Lodging,"V, M"
3504,5510,551,55,ACC,Accomodation,Hilton,Lodging,"V, M"
3503,5510,551,55,ACC,Accomodation,Sheraton,Lodging,"V, M"
3502,5510,551,55,ACC,Accomodation,Best Western,Lodging,"V, M"
3501,5510,551,55,ACC,Accomodation,Holiday Inns,Lodging,"V, M"
3441,7711;4932,771,77,TS,Transport Services,Advantage Rent A Car,Car Rental,"V, M"
3439,7711;4932,771,77,TS,Transport Services,Milleville,Car Rental,"V, M"
3438,7711;4932,771,77,TS,Transport Services,Interent,Car Rental,"V, M"
3436,7711;4932,771,77,TS,Transport Services,Autohansa,Car Rental,"V, M"
3435,7711;4932,771,77,TS,Transport Services,Value Rent-A-Car,Car Rental,"V, M"
3434,7711;4932,771,77,TS,Transport Services,USA,Car Rental,"V, M"
3433,7711;4932,771,77,TS,Transport Services,Ugly Duckling Rent-A-Car,Car Rental,"V, M"
3432,7711;4932,771,77,TS,Transport Services,Reserve Rent-A-Car,Car Rental,"V, M"
3431,7711;4932,771,77,TS,Transport Services,Replacement Rent-A-Car,Car Rental,"V, M"
3430,7711;4932,771,77,TS,Transport Services,Major Rent-A-Car,Car Rental,"V, M"
3429,7711;4932,771,77,TS,Transport Services,Insurance Rent-A-Car,Car Rental,"V, M"
3428,7711;4932,771,77,TS,Transport Services,Carey,Car Rental,"V, M"
3427,7711;4932,771,77,TS,Transport Services,Avon Rent-A-Car,Car Rental,"V, M"
3425,7711;4932,771,77,TS,Transport Services,Automate,Car Rental,"V, M"
3423,7711;4932,771,77,TS,Transport Services,AVCAR,Car Rental,"V, M"
3421,7711;4932,771,77,TS,Transport Services,Allstate,Car Rental,"V, M"
3420,7711;4932,771,77,TS,Transport Services,Ansa International,Car Rental,"V, M"
3412,7711;4932,771,77,TS,Transport Services,A1 Rent-A-Car,Car Rental,"V, M"
3409,7711;4932,771,77,TS,Transport Services,General Rent-A-Car,Car Rental,"V, M"
